fid,cbd_cafe_id,_count,_sum,_mean
"1","99",1239,17591.0473122392,14.197778298821
"2","100",1237,6837.84951716568,5.52776840514607
"3","101",1229,13733.4613094628,11.1745006586353
"4","102",1230,11977.3879530933,9.73771378300266
"5","1",1238,21965.8029504791,17.7429749196115
"6","2",1231,20315.5252701323,16.5032699188727
"7","3",1238,8295.26118078083,6.70053407171311
"9","5",1239,31657.7789895907,25.5510726308238
"10","6",1235,10977.1413193885,8.88837353796642
"11","7",1240,7772.31119852513,6.2679929020364
"13","9",1241,8646.43702608347,6.96731428370948
"14","10",1238,14314.1995482035,11.5623582780319
"15","11",1235,13858.5041372776,11.2214608399009
"16","12",1235,30599.1924569011,24.7766740541709
"17","13",1230,5191.53758285847,4.22076226248656
"18","15",1240,19654.2861292884,15.8502307494261
"19","17",1230,75028.0863022134,60.998444148141
"20","18",1230,24024.7887775898,19.5323485996665
"21","20",1230,13833.2199207433,11.2465202607669
"22","21",1236,11274.6496612094,9.12188483916621
"23","22",1240,18333.1543228887,14.7848018732973
"24","23",1237,39528.3095943946,31.9549794619197
"25","25",1232,19487.9143092185,15.8181122639761
"26","26",1235,17647.8380831927,14.2897474357836
"27","27",1240,3761.15527227893,3.03318973570882
"28","29",1236,12553.473222862,10.1565317337071
"29","30",1239,5729.47682533972,4.62427508098444
"30","31",1234,6698.67422813363,5.42842319945999
"31","32",1232,4818.84733234625,3.91140205547585
"32","33",1233,17788.896094244,14.427328543588
"33","34",1238,9723.73596176505,7.85439092226579
